inreport,avg.logstory,se.logstory,upper,lower,inreport_exp,avg.logstory_exp,se.logstory_exp,upper_exp,lower_exp
Not in report,1.7610188675546639,0.18781955261390593,2.129138426270345,1.3928993088389825,1.0,5.818362516221882,1.2066157650431375,8.40761990557699,4.026507233958094
In report,3.9227207768813774,0.18712361588437212,4.289476324671654,3.555965229091101,2.718281828459045,50.53775986017153,1.205776328944896,72.9282677635475,35.02160753310789
