"country","year (Year)","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Caribbean Regional","amount","11729000","11729000","10252000","12596000","17029000","14358000","8369000","7807000","68454000","53134000","73278000","114232000","122333000","154853000","82794000","128964000","35535000","22072000","16375000","32114000","32721000","25840000"
"Cayman Islands","amount"," "," "," "," "," ","1450"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Central Africa Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","175000","6000000"," "," ","60000000"," "," "," "
"Central African Republic","amount"," "," "," "," ","109960","123992","195306","13000"," "," ","105000","288677","165782","280826","142379","504272","133222","23400000","10000000","10000000","12650000","13800000"
"Central America Regional","amount"," "," "," "," "," "," "," "," "," "," "," ","2225000"," ","52096000","51618000","64248000","73655556","74679500","91500000","170000000","235000000","205000000"
"Central Asia Regional","amount"," "," "," "," "," "," "," ","471000","462000","875000","677000","3600000","1848000","1692000","1449000","9313000","6998000","9244000","7000000","7200000","28500000","37200000"
"Central and Eastern Europe Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","102000"," "," "," "," "," "," "
"Chad","amount"," "," "," "," ","1019067","647622","679174","788691","1934078","4917612","3432192","9422307","626072","1658389","2079970","1105073","639866","8102913","3903669","12386000","300000","500000"
"Chile","amount","735545","17101050","899000","1841183","1055157","7391848","1655597","3011507","1982946","1804902","2423705","3394001","4402414","3587427","4488668","3503989","1332268","1052790","1112586","1032000","700000","700000"
"China","amount"," "," "," "," "," ","73544","123659","49202","7753"," ","1181","4944","102538","210234","366956","306682","103425","309492","371121","825000"," ","800000"
"Colombia","amount","64468000","86562950","115161000","309912046","771135251","223875231","386684151","605334884","668924588","596121737","589237053","617874405","409044227","422401027","439124663","342042537","246859979","239881788","221705989","167941000","167595000","203925000"
"Comoros","amount"," "," "," "," ","7462","7889","48322","49805","213418","610068","604963","222833","998941","348337","251353","268476","218649","128456","309452","232000","150000","150000"
"Cook Islands","amount"," "," "," "," "," ","43141","56080","28120","49444"," ","22501","14149","9345","9685","14187"," "," "," "," "," "," "," "
"Costa Rica","amount","331137","333000","451000","1111028","1308470","1375035","1428993","1512327","1268370","906990","717020","928961","5601407","3171732","3556292","3735380","4732556","4075822","2431447","1673000","1825000","1825000"
"Cote d'Ivoire","amount"," "," "," "," ","1736422","13166","51111","0","28533","53843","198795","253249","140461","2972086","452135","153534","413335","1012657","1241970","481000","280000","340000"
