"country","year (Year)","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Portugal","amount"," "," "," "," ","734822","797648","720000","3364701","752000","850000","593000","669462","905500","488371","133085","126423","65722","93000","81000","90000","100000","100000"
"Puerto Rico","amount","208000","208000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Qatar","amount"," "," "," "," ","109000","230559","268299","258900","50080","1379000","963275","1507803","573456","829089","798726","0","44614","294720","152755","0"," "," "
"Republic of Congo (Brazzaville)","amount"," "," "," "," ","14422","93652","186711","122065","136438","236172","357270","300721","905617","349621","267145","154484","98368","85258","316094"," ","150000"," "
"Republic of the Congo (Brazzaville)","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","270000"," ","250000"
"Romania","amount"," "," "," "," ","9575405","20181323","12559234","28772239","11194000","15737000","14355000","16128300","16291000","17898788","29341177","23450926","28649322","33679409","29765000","25646000","7100000","6100000"
"Russia","amount"," "," "," "," ","6090390","389201689","272113504","271352271","335546590","294327350","322685548","236555756","165582022","148632437","137359557","166871936","35866","5000"," "," "," "," "
"Rwanda","amount"," "," "," "," ","819206","408933","397384","630829","396246","449848","532886","857771","626712","821501","1683841","1673756","930202","987836","450680","619000","450000","500000"
"Samoa","amount"," "," "," "," ","96947","88000","143719","88449","16174"," ","23175","54149","28501","61000","57101","127061","137784","48479","52635","82000","100000","100000"
"Sao Tome and Principe","amount"," "," "," "," ","52462","108517","144810","707423","298969","266710","481706","705473","187016","644492","679661","265600","349529","469518","288820","74000","150000","150000"
"Saudi Arabia","amount"," "," "," "," "," ","98981","78847","126772","86876","996308","2069292","719555","15862987","617047","506389","422200","160268","357714","168864","9000","10000","10000"
"Senegal","amount"," "," "," "," ","3754047","5070431","3465031","2191743","3244748","2413279","4215925","9142439","2086245","2904146","3689278","5318491","3240524","3243602","8978000","1677000","1500000","2300000"
"Serbia","amount"," "," "," "," "," "," "," "," "," "," ","1560000","1734320","1945412","3258400","3797638","5060176","6186226","7340076","6621969","7027000","5772500","7160000"
"Serbia and Montenegro","amount"," "," "," "," ","198494","4253","166209","1990432","1742439","1716727","155139"," ","160000","230000","249000"," "," "," "," "," "," "," "
"Seychelles","amount"," "," "," "," ","251000","133128","69227","155462","128305","538520","403170","391823","284053","181811","449299","893244","627580","464555","233296","142000","150000","150000"
"Sierra Leone","amount"," "," "," "," ","18006960","37644651","198903","417611","745213","312736","498160","2259611","485210","1693683","16860690","1760258","497301","436334","533646","299000","310000","400000"
"Singapore","amount"," "," "," "," ","78762","212489","314173","321056","825601","636140","514936","1273700","883217","798308","653165","744927","515934","577357","495789","240000","250000","200000"
"Slovakia","amount"," "," "," "," ","4020287","12672676","9660877","16439572","7983000","6528000","5328000","4986000","2133517","2110798","2214000","2526239","2034345","1895000","1347000","942000","900000","900000"
"Slovenia","amount"," "," "," "," ","3616906","7046429","5666062","5558726","3289000","2686000","1439000","1302000","1354150","1221034","1277000","1987379","1214131","1039000","1167000","602000","650000","650000"
"Solomon Islands","amount"," "," "," "," ","74560","104313","179690","163976","63448","152000","149000","42000","67051","84591","94671","99968","7145"," ","3873"," "," "," "
"Somalia","amount"," "," "," "," ","1400000","1400000","1200000","450000"," "," "," ","74600000","5576000","246600000","104387000","77348090","198634363","192328458","202198026","319169000","121515000","116865000"
"South Africa","amount"," "," "," "," ","1210936","2245900","10143244","9464143","2305223","1664497","297270","185627","3415936","1786002","3786274","5170032","6155082","8254328","4000507","2396000","2400000","2350000"
"South Asia Regional","amount"," "," "," "," ","1333000","2515000","6882000","5386000","7624000"," "," "," "," "," "," "," "," "," "," "," "," "," "
"South Caucasus Regional","amount"," "," "," "," "," "," "," "," "," ","30000"," "," ","400000","1000000"," "," "," "," "," "," "," "," "
"South Korea","amount"," "," "," "," ","1303730","1605251","1080766","774547","354883","493463","496077","450618","775908","2351191","562270","377720","325755","705384","542014","0"," "," "
"South Sudan","amount"," "," "," "," "," "," "," "," "," "," ","20246000","31064000","61065000","29249140","40527038","62769246","66567405","51476401","59297648","37621000","39700000","38000000"
"South and Central Asia Regional","amount"," "," "," "," "," "," "," "," "," ","650000","153000"," ","1170000","400000","850000","1500000","1000000","913000","430000","430000","430000","430000"
"Southeast Asia Regional","amount"," "," "," "," ","8418000","9176000","8006000","8799000","7949000","22389000","21420000","21035000","47420000","25526000","10641000","8020000","4643000"," "," "," "," "," "
"Southern Africa Regional","amount"," "," "," "," ","37600000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Southern Cone Regional","amount"," "," "," "," "," "," "," "," "," ","500000"," "," "," "," "," "," "," "," "," "," "," "," "
"Southwest Asia Regional","amount"," "," "," "," ","2094000","1466000","1692000","3305000","3250000","11672000","17487000","21463000"," ","28109000","47970000","48496000"," "," "," "," "," "," "
"Spain","amount"," "," "," "," ","125985","84000"," "," "," "," "," ","156000","12575","26948"," ","19098","30615"," "," "," "," "," "
"Sri Lanka","amount"," "," "," "," ","1208045","951908","974198","3854168","5763340","4343166","17068896","14511449","8648234","14495886","3766224","4613252","6826783","5839392","4977455","3427000","3380000","8780000"
"St. Kitts and Nevis","amount","100000","158000","195000","232284","146638","335000","381997","365135","627997","299904","304580","151310","7800","169907","2138298","377494","287885","354108","3104"," "," "," "
"St. Lucia","amount","96000","142500","279000","292000","128000","406200","460811","403729","836085","493490","419288","151264","23400","1720000","537598","382400","287663"," "," "," "," "," "
"St. Vincent and the Grenadines","amount","145000","193000","160000","241384","208319","270600","303880","104095"," ","1882","6400","620","11700","343050","1890298","466750","302071","347054"," "," "," "," "
"Sub-Saharan Africa Regional","amount"," "," "," "," ","23509000","27195000","20545000","18928000","29948000","20454000","13600000","650000","18231580","20100000","14927000","19400000","29550000","53153000","75490000","155554000","173853000","211698000"
"Sudan","amount"," "," "," "," "," "," "," ","896000","7858000","137460000","186775000","207146000","33979000","21625870","23787200","3100000","1114410"," "," "," "," "," "
"Suriname","amount","154000","149000","82000","121426","631276","129221","335997","577901","265000","349572","595550","1929968","5230258","1792139","1300429","1168295","439247","517108","409150","199000","215000","215000"
"Swaziland","amount"," "," "," "," ","119422","188843","122688","125015","158889","368764","320541","372305","233150","504932","498934","536649","164967","105914","150588","150000","150000","125000"
"Sweden","amount"," "," "," "," ","46402","412164","42000","0","0","0","3714","934"," ","12453","76997","0","10946","25249","32745"," "," "," "
"Switzerland","amount"," "," "," "," ","72430","47000","15941","0","0","0","0","11719","17559","78544","7720","33757","13777","20839","29724"," "," "," "
"Syria","amount"," "," "," "," "," "," "," "," "," "," "," "," "," ","0"," ","12145","16600000","63520000","319","517000000","445000000","313470000"
"Taiwan","amount"," "," "," "," ","70000","30000","100383","308909","897788","320000","617034","857546","781894","723896","725020","825977","606805","783638","408254"," "," "," "
"Tajikistan","amount"," "," "," "," ","473045","1143687","21710394","5952055","5019371","19463361","9777505","20591227","48075792","12328798","25562097","10359857","27848189","18472832","29214516","7941000","7570000","6515000"
"Tanzania","amount"," "," "," "," ","181422","222329","355218","263031","998166","1012071","2899025","3449405","684153","1176903","4507233","2335068","2455960","1624673","4161716","1260000","700000","700000"
"Thailand","amount"," "," "," "," ","11755265","11188541","12808348","15221110","12828970","10992677","14500854","12189404","12121274","13696092","15933053","8456343","6853251","8004241","7651290","3220000","4532210","3170000"
"The Gambia","amount"," "," "," "," ","14422","13529","97893","128496","212673","321873","180872","271101","207297","338462","429154","690309","311374","285484","304393","53000","150000","150000"
"Timor-Leste","amount"," "," "," "," ","8500000","8500000","7146000","5430778","3651599","2615000","2668000","729000","276520","310201","12637658","386405","318819","482502","684843","1594000","700000","1200000"
"Togo","amount"," "," "," "," ","764422","65074","230162","185903","431897","224064","310123","231534","222130","231430","360966","791634","937327","585745","598940","473000","200000","300000"
"Tonga","amount"," "," "," "," ","181507","159678","198964","189016","679516","388000","928797","1603813","930616","899538","825759","418209","327847","26594","266745","248000","250000","250000"
"Trinidad and Tobago","amount","545000","568000","2625394","742353","1357717","1150000","797998","737732","370712","367440","821457","1828095","2040436","2338614","2154024","1080940","839237","687798","207799","308000","325000","325000"
"Tunisia","amount"," "," "," "," ","8137712","9488642","10547915","7973177","12208496","13180808","11412820","11784741","20760359","23896450","21318227","37510214","64714730","31583431","32927963","103117236","81900000","66220000"
"Turkey","amount"," "," "," "," ","5045585","3805507","52956000","20750000","40600000","38923661","18641881","20079993","13720193","27854281","8311000","7096538","6216686","4732000","4435000","4630000","3850000","3800000"
"Turkmenistan","amount"," "," "," "," ","1383568","2344552","9731946","1170410","997392","7118282","2239251","5872803","11780831","2605585","11522404","4388214","1364643","1303050","1054809","690000","679000","715000"
"Turks and Caicos","amount"," "," "," "," "," "," "," "," "," "," "," "," "," ","27857"," ","42400","20730"," "," "," "," "," "
